,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,title
460,Survived,1st,male,48,0,0,26.6,Southampton,LR
461,Dead,3rd,male,34,0,0,8.1,Southampton,LR
462,Dead,1st,male,47,0,0,38.5,Southampton,LR
463,Dead,2nd,male,48,0,0,13.0,Southampton,LR
464,Dead,3rd,male,29,0,0,8.1,Southampton,LR
465,Dead,3rd,male,38,0,0,7.0,Southampton,LR
466,Dead,2nd,male,29,0,0,0.0,Southampton,LR
467,Dead,1st,male,56,0,0,26.6,Southampton,LR
468,Dead,3rd,male,29,0,0,7.7,Queenstown,LR
469,Survived,3rd,female,0,2,1,19.3,Cherbourg,LR
470,Dead,3rd,male,29,0,0,7.2,Southampton,LR
471,Dead,3rd,male,38,0,0,8.7,Southampton,LR
472,Survived,2nd,female,33,1,2,27.8,Southampton,LR
473,Survived,2nd,female,23,0,0,13.8,Cherbourg,LR
474,Dead,3rd,female,22,0,0,9.8,Southampton,LR
475,Dead,1st,male,29,0,0,52.0,Southampton,LR
476,Dead,2nd,male,34,1,0,21.0,Southampton,LR
477,Dead,3rd,male,29,1,0,7.0,Southampton,LR
478,Dead,3rd,male,22,0,0,7.5,Southampton,LR
479,Survived,3rd,female,2,0,1,12.3,Southampton,LR
480,Dead,3rd,male,9,5,2,46.9,Southampton,HR
481,Dead,2nd,male,29,0,0,0.0,Southampton,LR
482,Dead,3rd,male,50,0,0,8.1,Southampton,LR
483,Survived,3rd,female,63,0,0,9.6,Southampton,LR
484,Survived,1st,male,25,1,0,91.1,Cherbourg,LR
485,Dead,3rd,female,29,3,1,25.5,Southampton,LR
486,Survived,1st,female,35,1,0,90.0,Southampton,LR
487,Dead,1st,male,58,0,0,29.7,Cherbourg,LR
488,Dead,3rd,male,30,0,0,8.1,Southampton,LR
489,Survived,3rd,male,9,1,1,15.9,Southampton,HR
490,Dead,3rd,male,29,1,0,20.0,Southampton,LR
491,Dead,3rd,male,21,0,0,7.2,Southampton,LR
492,Dead,1st,male,55,0,0,30.5,Southampton,LR
493,Dead,1st,male,71,0,0,49.5,Cherbourg,LR
494,Dead,3rd,male,21,0,0,8.1,Southampton,LR
495,Dead,3rd,male,29,0,0,14.5,Cherbourg,LR
496,Survived,1st,female,54,1,0,78.3,Cherbourg,LR
497,Dead,3rd,male,29,0,0,15.1,Southampton,LR
498,Dead,1st,female,25,1,2,151.6,Southampton,LR
499,Dead,3rd,male,24,0,0,7.8,Southampton,LR
500,Dead,3rd,male,17,0,0,8.7,Southampton,LR
501,Dead,3rd,female,21,0,0,7.8,Queenstown,LR
502,Dead,3rd,female,29,0,0,7.6,Queenstown,LR
503,Dead,3rd,female,37,0,0,9.6,Southampton,LR
504,Survived,1st,female,16,0,0,86.5,Southampton,LR
505,Dead,1st,male,18,1,0,108.9,Cherbourg,LR
506,Survived,2nd,female,33,0,2,26.0,Southampton,LR
507,Survived,1st,male,29,0,0,26.6,Southampton,LR
508,Dead,3rd,male,28,0,0,22.5,Southampton,LR
509,Survived,3rd,male,26,0,0,56.5,Southampton,LR
510,Survived,3rd,male,29,0,0,7.8,Queenstown,LR
511,Dead,3rd,male,29,0,0,8.1,Southampton,LR
512,Survived,1st,male,36,0,0,26.3,Southampton,LR
513,Survived,1st,female,54,1,0,59.4,Cherbourg,LR
514,Dead,3rd,male,24,0,0,7.5,Southampton,LR
515,Dead,1st,male,47,0,0,34.0,Southampton,LR
516,Survived,2nd,female,34,0,0,10.5,Southampton,LR
517,Dead,3rd,male,29,0,0,24.1,Queenstown,LR
518,Survived,2nd,female,36,1,0,26.0,Southampton,LR
519,Dead,3rd,male,32,0,0,7.9,Southampton,LR
520,Survived,1st,female,30,0,0,93.5,Southampton,LR
521,Dead,3rd,male,22,0,0,7.9,Southampton,LR
522,Dead,3rd,male,29,0,0,7.2,Cherbourg,LR
523,Survived,1st,female,44,0,1,58.0,Cherbourg,LR
524,Dead,3rd,male,29,0,0,7.2,Cherbourg,LR
525,Dead,3rd,male,40,0,0,7.8,Queenstown,LR
526,Survived,2nd,female,50,0,0,10.5,Southampton,LR
527,Dead,1st,male,29,0,0,221.8,Southampton,LR
528,Dead,3rd,male,39,0,0,7.9,Southampton,LR
529,Dead,2nd,male,23,2,1,11.5,Southampton,LR
530,Survived,2nd,female,2,1,1,26.0,Southampton,LR
531,Dead,3rd,male,29,0,0,7.2,Cherbourg,LR
532,Dead,3rd,male,17,1,1,7.2,Cherbourg,LR
533,Survived,3rd,female,29,0,2,22.4,Cherbourg,LR
534,Dead,3rd,female,30,0,0,8.7,Southampton,LR
535,Survived,2nd,female,7,0,2,26.2,Southampton,LR
536,Dead,1st,male,45,0,0,26.6,Southampton,HR
537,Survived,1st,female,30,0,0,106.4,Cherbourg,LR
538,Dead,3rd,male,29,0,0,14.5,Southampton,LR
539,Survived,1st,female,22,0,2,49.5,Cherbourg,LR
540,Survived,1st,female,36,0,2,71.0,Southampton,LR
541,Dead,3rd,female,9,4,2,31.3,Southampton,LR
542,Dead,3rd,female,11,4,2,31.3,Southampton,LR
543,Survived,2nd,male,32,1,0,26.0,Southampton,LR
544,Dead,1st,male,50,1,0,106.4,Cherbourg,LR
545,Dead,1st,male,64,0,0,26.0,Southampton,LR
546,Survived,2nd,female,19,1,0,26.0,Southampton,LR
547,Survived,2nd,male,29,0,0,13.9,Cherbourg,LR
548,Dead,3rd,male,33,1,1,20.5,Southampton,LR
549,Survived,2nd,male,8,1,1,36.8,Southampton,HR
550,Survived,1st,male,17,0,2,110.9,Cherbourg,LR
551,Dead,2nd,male,27,0,0,26.0,Southampton,LR
552,Dead,3rd,male,29,0,0,7.8,Queenstown,LR
553,Survived,3rd,male,22,0,0,7.2,Cherbourg,LR
554,Survived,3rd,female,22,0,0,7.8,Southampton,LR
555,Dead,1st,male,62,0,0,26.6,Southampton,LR
556,Survived,1st,female,48,1,0,39.6,Cherbourg,HR
557,Dead,1st,male,29,0,0,227.5,Cherbourg,LR
558,Survived,1st,female,39,1,1,79.7,Southampton,LR
559,Survived,3rd,female,36,1,0,17.4,Southampton,LR
560,Dead,3rd,male,29,0,0,7.8,Queenstown,LR
561,Dead,3rd,male,40,0,0,7.9,Southampton,LR
562,Dead,2nd,male,28,0,0,13.5,Southampton,LR
563,Dead,3rd,male,29,0,0,8.1,Southampton,LR
564,Dead,3rd,female,29,0,0,8.1,Southampton,LR
565,Dead,3rd,male,24,2,0,24.1,Southampton,LR
566,Dead,3rd,male,19,0,0,7.9,Southampton,LR
567,Dead,3rd,female,29,0,4,21.1,Southampton,LR
568,Dead,3rd,male,29,0,0,7.2,Cherbourg,LR
569,Survived,3rd,male,32,0,0,7.9,Southampton,LR
570,Survived,2nd,male,62,0,0,10.5,Southampton,LR
571,Survived,1st,female,53,2,0,51.5,Southampton,LR
572,Survived,1st,male,36,0,0,26.4,Southampton,LR
573,Survived,3rd,female,29,0,0,7.8,Queenstown,LR
574,Dead,3rd,male,16,0,0,8.1,Southampton,LR
575,Dead,3rd,male,19,0,0,14.5,Southampton,LR
576,Survived,2nd,female,34,0,0,13.0,Southampton,LR
577,Survived,1st,female,39,1,0,55.9,Southampton,LR
578,Dead,3rd,female,29,1,0,14.5,Cherbourg,LR
579,Survived,3rd,male,32,0,0,7.9,Southampton,LR
580,Survived,2nd,female,25,1,1,30.0,Southampton,LR
581,Survived,1st,female,39,1,1,110.9,Cherbourg,LR
582,Dead,2nd,male,54,0,0,26.0,Southampton,LR
583,Dead,1st,male,36,0,0,40.1,Cherbourg,LR
584,Dead,3rd,male,29,0,0,8.7,Cherbourg,LR
585,Survived,1st,female,18,0,2,79.7,Southampton,LR
586,Dead,2nd,male,47,0,0,15.0,Southampton,LR
587,Survived,1st,male,60,1,1,79.2,Cherbourg,LR
588,Dead,3rd,male,22,0,0,8.1,Southampton,LR
589,Dead,3rd,male,29,0,0,8.1,Southampton,LR
590,Dead,3rd,male,35,0,0,7.1,Southampton,LR
591,Survived,1st,female,52,1,0,78.3,Cherbourg,LR
592,Dead,3rd,male,47,0,0,7.2,Southampton,LR
593,Dead,3rd,female,29,0,2,7.8,Queenstown,LR
594,Dead,2nd,male,37,1,0,26.0,Southampton,LR
595,Dead,3rd,male,36,1,1,24.1,Southampton,LR
596,Survived,2nd,female,29,0,0,33.0,Southampton,LR
597,Dead,3rd,male,49,0,0,0.0,Southampton,LR
598,Dead,3rd,male,29,0,0,7.2,Cherbourg,LR
599,Survived,1st,male,49,1,0,56.9,Cherbourg,HR
600,Survived,2nd,female,24,2,1,27.0,Southampton,LR
601,Dead,3rd,male,29,0,0,7.9,Southampton,LR
602,Dead,1st,male,29,0,0,42.4,Southampton,LR
603,Dead,3rd,male,44,0,0,8.1,Southampton,LR
604,Survived,1st,male,35,0,0,26.6,Cherbourg,LR
605,Dead,3rd,male,36,1,0,15.6,Southampton,LR
606,Dead,3rd,male,30,0,0,7.9,Southampton,LR
607,Survived,1st,male,27,0,0,30.5,Southampton,LR
608,Survived,2nd,female,22,1,2,41.6,Cherbourg,LR
609,Survived,1st,female,40,0,0,153.5,Southampton,LR
610,Dead,3rd,female,39,1,5,31.3,Southampton,LR
611,Dead,3rd,male,29,0,0,7.0,Southampton,LR
612,Survived,3rd,female,29,1,0,15.5,Queenstown,LR
613,Dead,3rd,male,29,0,0,7.8,Queenstown,LR
614,Dead,3rd,male,35,0,0,8.1,Southampton,LR
615,Survived,2nd,female,24,1,2,65.0,Southampton,LR
616,Dead,3rd,male,34,1,1,14.4,Southampton,LR
617,Dead,3rd,female,26,1,0,16.1,Southampton,LR
618,Survived,2nd,female,4,2,1,39.0,Southampton,LR
619,Dead,2nd,male,26,0,0,10.5,Southampton,LR
620,Dead,3rd,male,27,1,0,14.5,Cherbourg,LR
621,Survived,1st,male,42,1,0,52.6,Southampton,LR
622,Survived,3rd,male,20,1,1,15.7,Cherbourg,LR
623,Dead,3rd,male,21,0,0,7.9,Southampton,LR
624,Dead,3rd,male,21,0,0,16.1,Southampton,LR
625,Dead,1st,male,61,0,0,32.3,Southampton,LR
626,Dead,2nd,male,57,0,0,12.3,Queenstown,HR
627,Survived,1st,female,21,0,0,78.0,Southampton,LR
628,Dead,3rd,male,26,0,0,7.9,Southampton,LR
629,Dead,3rd,male,29,0,0,7.7,Queenstown,LR
630,Survived,1st,male,80,0,0,30.0,Southampton,LR
631,Dead,3rd,male,51,0,0,7.1,Southampton,LR
632,Survived,1st,male,32,0,0,30.5,Cherbourg,HR
633,Dead,1st,male,29,0,0,0.0,Southampton,LR
634,Dead,3rd,female,9,3,2,27.9,Southampton,LR
635,Survived,2nd,female,28,0,0,13.0,Southampton,LR
636,Dead,3rd,male,32,0,0,7.9,Southampton,LR
637,Dead,2nd,male,31,1,1,26.2,Southampton,LR
638,Dead,3rd,female,41,0,5,39.7,Southampton,LR
639,Dead,3rd,male,29,1,0,16.1,Southampton,LR
640,Dead,3rd,male,20,0,0,7.9,Southampton,LR
641,Survived,1st,female,24,0,0,69.3,Cherbourg,LR
642,Dead,3rd,female,2,3,2,27.9,Southampton,LR
643,Survived,3rd,male,29,0,0,56.5,Southampton,LR
644,Survived,3rd,female,0,2,1,19.3,Cherbourg,LR
645,Survived,1st,male,48,1,0,76.7,Cherbourg,LR
646,Dead,3rd,male,19,0,0,7.9,Southampton,LR
647,Survived,1st,male,56,0,0,35.5,Cherbourg,HR
648,Dead,3rd,male,29,0,0,7.5,Southampton,LR
649,Survived,3rd,female,23,0,0,7.5,Southampton,LR
650,Dead,3rd,male,29,0,0,7.9,Southampton,LR
651,Survived,2nd,female,18,0,1,23.0,Southampton,LR
652,Dead,3rd,male,21,0,0,8.4,Southampton,LR
653,Survived,3rd,female,29,0,0,7.8,Queenstown,LR
654,Dead,3rd,female,18,0,0,6.8,Queenstown,LR
655,Dead,2nd,male,24,2,0,73.5,Southampton,LR
656,Dead,3rd,male,29,0,0,7.9,Southampton,LR
657,Dead,3rd,female,32,1,1,15.5,Queenstown,LR
658,Dead,2nd,male,23,0,0,13.0,Southampton,LR
659,Dead,1st,male,58,0,2,113.3,Cherbourg,LR
660,Survived,1st,male,50,2,0,133.7,Southampton,HR
661,Dead,3rd,male,40,0,0,7.2,Cherbourg,LR
662,Dead,1st,male,47,0,0,25.6,Southampton,LR
663,Dead,3rd,male,36,0,0,7.5,Southampton,LR
664,Survived,3rd,male,20,1,0,7.9,Southampton,LR
665,Dead,2nd,male,32,2,0,73.5,Southampton,LR
666,Dead,2nd,male,25,0,0,13.0,Southampton,LR
667,Dead,3rd,male,29,0,0,7.8,Southampton,LR
668,Dead,3rd,male,43,0,0,8.1,Southampton,LR
669,Survived,1st,female,29,1,0,52.0,Southampton,LR
670,Survived,2nd,female,40,1,1,39.0,Southampton,LR
671,Dead,1st,male,31,1,0,52.0,Southampton,LR
672,Dead,2nd,male,70,0,0,10.5,Southampton,LR
673,Survived,2nd,male,31,0,0,13.0,Southampton,LR
674,Dead,2nd,male,29,0,0,0.0,Southampton,LR
675,Dead,3rd,male,18,0,0,7.8,Southampton,LR
676,Dead,3rd,male,24,0,0,8.1,Southampton,LR
677,Survived,3rd,female,18,0,0,9.8,Southampton,LR
678,Dead,3rd,female,43,1,6,46.9,Southampton,LR
679,Survived,1st,male,36,0,1,512.3,Cherbourg,LR
680,Dead,3rd,female,29,0,0,8.1,Queenstown,LR
681,Survived,1st,male,27,0,0,76.7,Cherbourg,LR
682,Dead,3rd,male,20,0,0,9.2,Southampton,LR
683,Dead,3rd,male,14,5,2,46.9,Southampton,LR
684,Dead,2nd,male,60,1,1,39.0,Southampton,LR
685,Dead,2nd,male,25,1,2,41.6,Cherbourg,LR
686,Dead,3rd,male,14,4,1,39.7,Southampton,LR
687,Dead,3rd,male,19,0,0,10.2,Southampton,LR
688,Dead,3rd,male,18,0,0,7.8,Southampton,LR
689,Survived,1st,female,15,0,1,211.3,Southampton,LR
690,Survived,1st,male,31,1,0,57.0,Southampton,LR
691,Survived,3rd,female,4,0,1,13.4,Cherbourg,LR
692,Survived,3rd,male,29,0,0,56.5,Southampton,LR
693,Dead,3rd,male,25,0,0,7.2,Cherbourg,LR
694,Dead,1st,male,60,0,0,26.6,Southampton,HR
695,Dead,2nd,male,52,0,0,13.5,Southampton,LR
696,Dead,3rd,male,44,0,0,8.1,Southampton,LR
697,Survived,3rd,female,29,0,0,7.7,Queenstown,LR
698,Dead,1st,male,49,1,1,110.9,Cherbourg,LR
699,Dead,3rd,male,42,0,0,7.7,Southampton,LR
700,Survived,1st,female,18,1,0,227.5,Cherbourg,LR
701,Survived,1st,male,35,0,0,26.3,Southampton,LR
702,Dead,3rd,female,18,0,1,14.5,Cherbourg,LR
703,Dead,3rd,male,25,0,0,7.7,Queenstown,LR
704,Dead,3rd,male,26,1,0,7.9,Southampton,LR
705,Dead,2nd,male,39,0,0,26.0,Southampton,LR
706,Survived,2nd,female,45,0,0,13.5,Southampton,LR
707,Survived,1st,male,42,0,0,26.3,Southampton,LR
708,Survived,1st,female,22,0,0,151.6,Southampton,LR
709,Survived,3rd,male,29,1,1,15.2,Cherbourg,HR
710,Survived,1st,female,24,0,0,49.5,Cherbourg,LR
711,Dead,1st,male,29,0,0,26.6,Southampton,LR
712,Survived,1st,male,48,1,0,52.0,Southampton,LR
713,Dead,3rd,male,29,0,0,9.5,Southampton,LR
714,Dead,2nd,male,52,0,0,13.0,Southampton,LR
715,Dead,3rd,male,19,0,0,7.7,Southampton,LR
716,Survived,1st,female,38,0,0,227.5,Cherbourg,LR
717,Survived,2nd,female,27,0,0,10.5,Southampton,LR
718,Dead,3rd,male,29,0,0,15.5,Queenstown,LR
719,Dead,3rd,male,33,0,0,7.8,Southampton,LR
720,Survived,2nd,female,6,0,1,33.0,Southampton,LR
721,Dead,3rd,male,17,1,0,7.1,Southampton,LR
722,Dead,2nd,male,34,0,0,13.0,Southampton,LR
723,Dead,2nd,male,50,0,0,13.0,Southampton,LR
724,Survived,1st,male,27,1,0,53.1,Southampton,LR
725,Dead,3rd,male,20,0,0,8.7,Southampton,LR
726,Survived,2nd,female,30,3,0,21.0,Southampton,LR
727,Survived,3rd,female,29,0,0,7.7,Queenstown,LR
728,Dead,2nd,male,25,1,0,26.0,Southampton,LR
729,Dead,3rd,female,25,1,0,7.9,Southampton,LR
730,Survived,1st,female,29,0,0,211.3,Southampton,LR
731,Dead,3rd,male,11,0,0,18.8,Cherbourg,LR
732,Dead,2nd,male,29,0,0,0.0,Southampton,LR
733,Dead,2nd,male,23,0,0,13.0,Southampton,LR
734,Dead,2nd,male,23,0,0,13.0,Southampton,LR
735,Dead,3rd,male,28,0,0,16.1,Southampton,LR
736,Dead,3rd,female,48,1,3,34.4,Southampton,LR
737,Survived,1st,male,35,0,0,512.3,Cherbourg,LR
738,Dead,3rd,male,29,0,0,7.9,Southampton,LR
739,Dead,3rd,male,29,0,0,7.9,Southampton,LR
740,Survived,1st,male,29,0,0,30.0,Southampton,LR
741,Dead,1st,male,36,1,0,78.8,Southampton,LR
742,Survived,1st,female,21,2,2,262.4,Cherbourg,LR
743,Dead,3rd,male,24,1,0,16.1,Southampton,LR
744,Survived,3rd,male,31,0,0,7.9,Southampton,LR
745,Dead,1st,male,70,1,1,71.0,Southampton,HR
746,Dead,3rd,male,16,1,1,20.2,Southampton,LR
747,Survived,2nd,female,30,0,0,13.0,Southampton,LR
748,Dead,1st,male,19,1,0,53.1,Southampton,LR
749,Dead,3rd,male,31,0,0,7.8,Queenstown,LR
750,Survived,2nd,female,4,1,1,23.0,Southampton,LR
751,Survived,3rd,male,6,0,1,12.5,Southampton,HR
752,Dead,3rd,male,33,0,0,9.5,Southampton,LR
753,Dead,3rd,male,23,0,0,7.9,Southampton,LR
754,Survived,2nd,female,48,1,2,65.0,Southampton,LR
755,Survived,2nd,male,0,1,1,14.5,Southampton,HR
756,Dead,3rd,male,28,0,0,7.8,Southampton,LR
757,Dead,2nd,male,18,0,0,11.5,Southampton,LR
758,Dead,3rd,male,34,0,0,8.1,Southampton,LR
759,Survived,1st,female,33,0,0,86.5,Southampton,HR
760,Dead,3rd,male,29,0,0,14.5,Southampton,LR
761,Dead,3rd,male,41,0,0,7.1,Southampton,LR
762,Survived,3rd,male,20,0,0,7.2,Cherbourg,LR
763,Survived,1st,female,36,1,2,120.0,Southampton,LR
764,Dead,3rd,male,16,0,0,7.8,Southampton,LR
765,Survived,1st,female,51,1,0,78.0,Southampton,LR
766,Dead,1st,male,29,0,0,39.6,Cherbourg,HR
767,Dead,3rd,female,30,0,0,7.8,Queenstown,LR
768,Dead,3rd,male,29,1,0,24.1,Queenstown,LR
769,Dead,3rd,male,32,0,0,8.4,Southampton,LR
770,Dead,3rd,male,24,0,0,9.5,Southampton,LR
771,Dead,3rd,male,48,0,0,7.9,Southampton,LR
772,Dead,2nd,female,57,0,0,10.5,Southampton,LR
773,Dead,3rd,male,29,0,0,7.2,Cherbourg,LR
774,Survived,2nd,female,54,1,3,23.0,Southampton,LR
775,Dead,3rd,male,18,0,0,7.8,Southampton,LR
776,Dead,3rd,male,29,0,0,7.8,Queenstown,LR
777,Survived,3rd,female,5,0,0,12.5,Southampton,LR
778,Dead,3rd,male,29,0,0,7.7,Queenstown,LR
779,Survived,1st,female,43,0,1,211.3,Southampton,LR
780,Survived,3rd,female,13,0,0,7.2,Cherbourg,LR
781,Survived,1st,female,17,1,0,57.0,Southampton,LR
782,Dead,1st,male,29,0,0,30.0,Southampton,LR
783,Dead,3rd,male,29,1,2,23.4,Southampton,LR
784,Dead,3rd,male,25,0,0,7.0,Southampton,LR
785,Dead,3rd,male,25,0,0,7.2,Southampton,LR
786,Survived,3rd,female,18,0,0,7.5,Southampton,LR
787,Dead,3rd,male,8,4,1,29.1,Queenstown,HR
788,Survived,3rd,male,1,1,2,20.6,Southampton,HR
789,Dead,1st,male,46,0,0,79.2,Cherbourg,LR
790,Dead,3rd,male,29,0,0,7.8,Queenstown,LR
791,Dead,2nd,male,16,0,0,26.0,Southampton,LR
792,Dead,3rd,female,29,8,2,69.5,Southampton,LR
793,Dead,1st,male,29,0,0,30.7,Cherbourg,LR
794,Dead,3rd,male,25,0,0,7.9,Southampton,LR
795,Dead,2nd,male,39,0,0,13.0,Southampton,LR
796,Survived,1st,female,49,0,0,25.9,Southampton,HR
797,Survived,3rd,female,31,0,0,8.7,Southampton,LR
798,Dead,3rd,male,30,0,0,7.2,Cherbourg,LR
799,Dead,3rd,female,30,1,1,24.1,Southampton,LR
800,Dead,2nd,male,34,0,0,13.0,Southampton,LR
801,Survived,2nd,female,31,1,1,26.2,Southampton,LR
802,Survived,1st,male,11,1,2,120.0,Southampton,HR
803,Survived,3rd,male,0,0,1,8.5,Cherbourg,HR
804,Survived,3rd,male,27,0,0,7.0,Southampton,LR
805,Dead,3rd,male,31,0,0,7.8,Southampton,LR
806,Dead,1st,male,39,0,0,0.0,Southampton,LR
807,Dead,3rd,female,18,0,0,7.8,Southampton,LR
808,Dead,2nd,male,39,0,0,13.0,Southampton,LR
809,Survived,1st,female,33,1,0,53.1,Southampton,LR
810,Dead,3rd,male,26,0,0,7.9,Southampton,LR
811,Dead,3rd,male,39,0,0,24.1,Southampton,LR
812,Dead,2nd,male,35,0,0,10.5,Southampton,LR
813,Dead,3rd,female,6,4,2,31.3,Southampton,LR
814,Dead,3rd,male,30,0,0,8.1,Southampton,LR
815,Dead,1st,male,29,0,0,0.0,Southampton,LR
816,Dead,3rd,female,23,0,0,7.9,Southampton,LR
817,Dead,2nd,male,31,1,1,37.0,Cherbourg,LR
818,Dead,3rd,male,43,0,0,6.5,Southampton,LR
819,Dead,3rd,male,10,3,2,27.9,Southampton,HR
820,Survived,1st,female,52,1,1,93.5,Southampton,LR
821,Survived,3rd,male,27,0,0,8.7,Southampton,LR
822,Dead,1st,male,38,0,0,0.0,Southampton,HR
823,Survived,3rd,female,27,0,1,12.5,Southampton,LR
824,Dead,3rd,male,2,4,1,39.7,Southampton,HR
825,Dead,3rd,male,29,0,0,7.0,Queenstown,LR
826,Dead,3rd,male,29,0,0,56.5,Southampton,LR
827,Survived,2nd,male,1,0,2,37.0,Cherbourg,HR
828,Survived,3rd,male,29,0,0,7.8,Queenstown,LR
829,Survived,1st,female,62,0,0,80.0,Southampton,LR
830,Survived,3rd,female,15,1,0,14.5,Cherbourg,LR
831,Survived,2nd,male,0,1,1,18.8,Southampton,HR
832,Dead,3rd,male,29,0,0,7.2,Cherbourg,LR
833,Dead,3rd,male,23,0,0,7.9,Southampton,LR
834,Dead,3rd,male,18,0,0,8.3,Southampton,LR
835,Survived,1st,female,39,1,1,83.2,Cherbourg,LR
836,Dead,3rd,male,21,0,0,8.7,Southampton,LR
837,Dead,3rd,male,29,0,0,8.1,Southampton,LR
838,Survived,3rd,male,32,0,0,56.5,Southampton,LR
839,Survived,1st,male,29,0,0,29.7,Cherbourg,LR
840,Dead,3rd,male,20,0,0,7.9,Southampton,LR
841,Dead,2nd,male,16,0,0,10.5,Southampton,LR
842,Survived,1st,female,30,0,0,31.0,Cherbourg,LR
843,Dead,3rd,male,34,0,0,6.4,Cherbourg,LR
844,Dead,3rd,male,17,0,0,8.7,Southampton,LR
845,Dead,3rd,male,42,0,0,7.5,Southampton,LR
846,Dead,3rd,male,29,8,2,69.5,Southampton,LR
847,Dead,3rd,male,35,0,0,7.9,Cherbourg,LR
848,Dead,2nd,male,28,0,1,33.0,Southampton,HR
849,Survived,1st,female,29,1,0,89.1,Cherbourg,LR
850,Dead,3rd,male,4,4,2,31.3,Southampton,HR
851,Dead,3rd,male,74,0,0,7.8,Southampton,LR
852,Dead,3rd,female,9,1,1,15.2,Cherbourg,LR
853,Survived,1st,female,16,0,1,39.4,Southampton,LR
854,Dead,2nd,female,44,1,0,26.0,Southampton,LR
855,Survived,3rd,female,18,0,1,9.3,Southampton,LR
856,Survived,1st,female,45,1,1,164.9,Southampton,LR
857,Survived,1st,male,51,0,0,26.6,Southampton,LR
858,Survived,3rd,female,24,0,3,19.3,Cherbourg,LR
859,Dead,3rd,male,29,0,0,7.2,Cherbourg,LR
860,Dead,3rd,male,41,2,0,14.1,Southampton,LR
861,Dead,2nd,male,21,1,0,11.5,Southampton,LR
862,Survived,1st,female,48,0,0,25.9,Southampton,LR
863,Dead,3rd,female,29,8,2,69.5,Southampton,LR
864,Dead,2nd,male,24,0,0,13.0,Southampton,LR
865,Survived,2nd,female,42,0,0,13.0,Southampton,LR
866,Survived,2nd,female,27,1,0,13.9,Cherbourg,LR
867,Dead,1st,male,31,0,0,50.5,Southampton,LR
868,Dead,3rd,male,29,0,0,9.5,Southampton,LR
869,Survived,3rd,male,4,1,1,11.1,Southampton,HR
870,Dead,3rd,male,26,0,0,7.9,Southampton,LR
871,Survived,1st,female,47,1,1,52.6,Southampton,LR
872,Dead,1st,male,33,0,0,5.0,Southampton,LR
873,Dead,3rd,male,47,0,0,9.0,Southampton,LR
874,Survived,2nd,female,28,1,0,24.0,Cherbourg,LR
875,Survived,3rd,female,15,0,0,7.2,Cherbourg,LR
876,Dead,3rd,male,20,0,0,9.8,Southampton,LR
877,Dead,3rd,male,19,0,0,7.9,Southampton,LR
878,Dead,3rd,male,29,0,0,7.9,Southampton,LR
879,Survived,1st,female,56,0,1,83.2,Cherbourg,LR
880,Survived,2nd,female,25,0,1,26.0,Southampton,LR
881,Dead,3rd,male,33,0,0,7.9,Southampton,LR
882,Dead,3rd,female,22,0,0,10.5,Southampton,LR
883,Dead,2nd,male,28,0,0,10.5,Southampton,LR
884,Dead,3rd,male,25,0,0,7.0,Southampton,LR
885,Dead,3rd,female,39,0,5,29.1,Queenstown,LR
886,Dead,2nd,male,27,0,0,13.0,Southampton,HR
887,Survived,1st,female,19,0,0,30.0,Southampton,LR
888,Dead,3rd,female,29,1,2,23.4,Southampton,LR
889,Survived,1st,male,26,0,0,30.0,Cherbourg,LR
890,Dead,3rd,male,32,0,0,7.8,Queenstown,LR
