,Name,Platform,Year,Genre,Publisher,Sales,region
3196,Tony Hawk's Project 8,PS3,2006,Sports,Activision,0.23,EU
3197,Dogz,GBA,2004,Simulation,Ubisoft,0.17,EU
3198,Disney Universe,PS3,2011,Action,Disney Interactive Studios,0.23,EU
3199,Guitar Hero: Metallica,PS3,2009,Misc,Activision,0.24,EU
3200,Iron Man,PSP,2008,Action,Sega,0.09,EU
3201,Taiko no Tatsujin: Chibi Dragon to Fushigi na Orb,3DS,2012,Misc,Namco Bandai Games,0.0,EU
3202,Harry Potter and the Half-Blood Prince,DS,2009,Action,Electronic Arts,0.35,EU
3203,A Bug's Life,N64,1998,Platform,Activision,0.13,EU
3204,Super Castlevania IV,SNES,1991,Platform,Konami Digital Entertainment,0.05,EU
3205,DJ Hero 2,Wii,2010,Misc,Activision,0.09,EU
3206,Angry Birds Trilogy,3DS,2012,Action,Activision,0.2,EU
3207,Condemned 2: Bloodshot,X360,2008,Action,Sega,0.19,EU
3208,Cabela's Big Game Hunter (2008),Wii,2007,Sports,Activision,0.0,EU
3209,Mobile Suit Z Gundam: AEUG vs. Titans,PS2,2003,Fighting,Namco Bandai Games,0.0,EU
3210,Just Dance 3,PS3,2011,Misc,Ubisoft,0.21,EU
3211,Call of Duty: Black Ops,DS,2010,Shooter,Activision,0.05,EU
3212,God of War III,PS4,2015,Action,Sony Computer Entertainment,0.29,EU
3213,Ape Escape 2,PS2,2002,Platform,Sony Computer Entertainment,0.09,EU
3214,Metroid Prime: Trilogy,Wii,2009,Shooter,Nintendo,0.05,EU
3216,"Transformers: Revenge of the Fallen (XBox 360, PS3, & PC Versions)",X360,2009,Shooter,Activision,0.23,EU
3218,The Sims 3: Generations,PC,2011,Simulation,Electronic Arts,0.23,EU
3219,The Crew,XOne,2014,Racing,Ubisoft,0.34,EU
3220,Battle of Giants: Dragons,DS,2009,Strategy,Ubisoft,0.25,EU
3221,Dragon Quest Monsters Joker 3,3DS,2016,Role-Playing,Square Enix,0.0,EU
3222,Sonic & All-Stars Racing Transformed,X360,2012,Racing,Sega,0.37,EU
3224,FIFA Soccer 2002,PS2,2001,Sports,Electronic Arts,0.24,EU
3227,Tiger Woods PGA Tour 12: The Masters,X360,2011,Sports,Electronic Arts,0.17,EU
3228,Okami,PS2,2006,Action,Capcom,0.03,EU
3229,NHL 2001,PS,2000,Sports,Electronic Arts,0.24,EU
3230,World of Zoo,Wii,2009,Simulation,THQ,0.16,EU
3231,LEGO Jurassic World,XOne,2015,Action,Warner Bros. Interactive Entertainment,0.22,EU
3232,Wet,PS3,2009,Shooter,Bethesda Softworks,0.27,EU
3233,MySims Racing,DS,2009,Racing,Electronic Arts,0.29,EU
3234,Buzz Lightyear of Star Command,PS,2000,Platform,Activision,0.24,EU
3235,Namco Museum,GC,2002,Misc,Namco Bandai Games,0.13,EU
3237,Virtua Cop,SAT,1995,Shooter,Sega,0.0,EU
3239,Tony Hawk's American Wasteland,XB,2005,Sports,Activision,0.2,EU
3241,Prince of Persia: The Forgotten Sands,X360,2010,Action,Ubisoft,0.26,EU
3242,Vanquish,PS3,2010,Shooter,Sega,0.22,EU
3243,Wild ARMs 3,PS2,2002,Role-Playing,Ubisoft,0.13,EU
3244,NBA ShootOut '97,PS,1997,Sports,Sony Computer Entertainment,0.24,EU
3246,Madden NFL 07,GC,2006,Sports,Electronic Arts,0.13,EU
3247,Far Cry 4,PC,2014,Shooter,Ubisoft,0.42,EU
3248,Battlezone,2600,1982,Shooter,Atari,0.03,EU
3249,Tiger Woods PGA Tour 2004,XB,2003,Sports,Electronic Arts,0.13,EU
3250,LEGO Pirates of the Caribbean: The Video Game,3DS,2011,Action,Disney Interactive Studios,0.28,EU
3251,Pro Evolution Soccer 2015,PS3,2014,Sports,Konami Digital Entertainment,0.23,EU
3252,Evolve,XOne,2015,Shooter,Take-Two Interactive,0.2,EU
3253,Tak 2: The Staff of Dreams,PS2,2004,Platform,THQ,0.24,EU
3256,Bolt,DS,2008,Adventure,Disney Interactive Studios,0.21,EU
3257,Viewtiful Joe,GC,2003,Action,Capcom,0.1,EU
3258,The Urbz: Sims in the City,GBA,2004,Simulation,Electronic Arts,0.22,EU
3259,Beetle Adventure Racing!,N64,1999,Racing,Electronic Arts,0.2,EU
3260,FIFA Soccer,PSV,2012,Sports,Electronic Arts,0.34,EU
3261,Disney's 102 Dalmatians: Puppies to the Rescue,PS,2000,Platform,Eidos Interactive,0.23,EU
3262,Wipeout: The Game,DS,2010,Misc,Activision,0.0,EU
3264,SpongeBob's Atlantis SquarePantis,Wii,2007,Action,THQ,0.01,EU
3265,Metal Gear Solid V: Ground Zeroes,PS3,2014,Action,Konami Digital Entertainment,0.14,EU
3267,Dragon Ball Z: Ultimate Tenkaichi,PS3,2011,Fighting,Namco Bandai Games,0.18,EU
3268,WWE SmackDown vs. Raw 2010,PSP,2009,Fighting,THQ,0.23,EU
3270,XGRA: Extreme G-Racing Association,PS2,2004,Racing,Eidos Interactive,0.24,EU
3271,Mario's Picross,GB,1995,Puzzle,Nintendo,0.0,EU
3272,Pac-Man Player's Choice Bundle,GC,2003,Misc,Namco Bandai Games,0.12,EU
3273,Rocksmith 2014,PS4,2014,Misc,Ubisoft,0.17,EU
3274,Fighters MEGAMiX,SAT,1996,Fighting,Sega,0.0,EU
3276,Wall-E,X360,2008,Platform,THQ,0.26,EU
3277,Tomb Raider III: Adventures of Lara Croft,PC,1998,Action,Eidos Interactive,0.03,EU
3278,Toshochu: Run for Money,3DS,2012,Adventure,Namco Bandai Games,0.0,EU
3279,Dragon Quest Monsters: Joker 2 Professional,DS,2011,Role-Playing,Square Enix,0.0,EU
3282,Formula 1: Championship Edition,PS3,2006,Racing,Sony Computer Entertainment,0.57,EU
3284,NBA 2K9,PS3,2008,Sports,Take-Two Interactive,0.0,EU
3285,SingStar Singalong With Disney,PS2,2008,Misc,Sony Computer Entertainment,0.04,EU
3286,NHL 16,PS4,2015,Sports,Electronic Arts,0.15,EU
3287,Plants vs. Zombies: Garden Warfare,PS4,2014,Shooter,Electronic Arts,0.29,EU
3288,NFL Fever 2003,XB,2002,Sports,Microsoft Game Studios,0.13,EU
3291,Disney Sing It: Family Hits,Wii,2010,Misc,Disney Interactive Studios,0.18,EU
3292,2 Games in 1: Sonic Battle & ChuChu Rocket!,GBA,2005,Misc,THQ,0.16,EU
3295,New Carnival Games,Wii,2010,Misc,Take-Two Interactive,0.21,EU
3296,Tony Hawk: RIDE,X360,2009,Sports,Activision,0.1,EU
3297,Just Dance 2014,WiiU,2013,Misc,Ubisoft,0.23,EU
3300,Time Crisis 3,PS2,2003,Shooter,Namco Bandai Games,0.23,EU
3301,Cabela's Monster Buck Hunter,Wii,2010,Sports,Activision,0.0,EU
3302,Ganbaru Watashi no Kakei Diary,DS,2007,Misc,Nintendo,0.0,EU
3303,pro evolution soccer 2011,X360,2010,Sports,Konami Digital Entertainment,0.44,EU
3304,New Play Control! Donkey Kong Jungle Beat,Wii,2008,Platform,Nintendo,0.17,EU
3305,Small Soldiers,PS,1998,Platform,Electronic Arts,0.23,EU
3306,Yakuza: Dead Souls,PS3,2011,Shooter,Sega,0.07,EU
3307,Littlest Pet Shop: Garden,DS,2008,Simulation,Electronic Arts,0.24,EU
3308,Half-Life 2,XB,2005,Shooter,Electronic Arts,0.21,EU
3310,Pac-Man Party,Wii,2010,Misc,Namco Bandai Games,0.09,EU
3311,Jak and Daxter: The Lost Frontier,PSP,2009,Platform,Sony Computer Entertainment,0.27,EU
3312,Major League Baseball 2K8,X360,2008,Sports,Bethesda Softworks,0.0,EU
3313,SimCity DS,DS,2007,Simulation,Electronic Arts,0.03,EU
3315,Petz: Dogz Pack,DS,2008,Simulation,Ubisoft,0.0,EU
3316,Split/Second,X360,2010,Racing,Disney Interactive Studios,0.23,EU
3317,Final Fantasy IV Advance,GBA,2005,Role-Playing,Nintendo,0.1,EU
3318,Madden NFL 2003,GBA,2002,Sports,Electronic Arts,0.16,EU
3319,Tomb Raider Chronicles,PS,1999,Action,Eidos Interactive,0.23,EU
3320,Harry Potter and the Goblet of Fire,GBA,2005,Action,Electronic Arts,0.16,EU
3321,Dragon Ball Z: Buu's Fury,GBA,2004,Action,Atari,0.16,EU
3322,Madden NFL 2002,GC,2001,Sports,Electronic Arts,0.12,EU
3323,Guitar Hero: Smash Hits,Wii,2009,Misc,Activision,0.21,EU
3324,Disney TH!NK Fast: The Ultimate Trivia Showdown,Wii,2008,Misc,Disney Interactive Studios,0.16,EU
3325,Spider-Man: Mysterio's Menace,GBA,2001,Action,Activision,0.16,EU
3326,Madden NFL 2000,N64,1999,Sports,Electronic Arts,0.02,EU
3327,"Transformers: The Game (XBox 360, PS2, PS3, Wii & PC Versions)",X360,2007,Action,Activision,0.05,EU
3328,Game & Watch Gallery 4,GBA,2002,Misc,Nintendo,0.16,EU
3329,Littlest Pet Shop: Jungle,DS,2008,Simulation,Electronic Arts,0.2,EU
3330,Naruto: Ultimate Ninja,PS2,2003,Fighting,Atari,0.02,EU
3331,Fighters Uncaged,X360,2010,Fighting,Ubisoft,0.24,EU
3332,Call of Juarez: Bound in Blood,X360,2009,Shooter,Ubisoft,0.24,EU
3333,New Play Control! Pikmin 2,Wii,2009,Strategy,Nintendo,0.14,EU
3334,Tony Hawk's Underground,GBA,2003,Sports,Activision,0.16,EU
3335,Hot Shots Golf: World Invitational,PSV,2011,Sports,Sony Computer Entertainment,0.11,EU
3337,Shadow The Hedgehog,PS2,2005,Platform,Sega,0.02,EU
3338,Wave Race: Blue Storm,GC,2001,Racing,Nintendo,0.1,EU
3339,Backyard Wrestling: Don't Try This at Home,PS2,2003,Fighting,Eidos Interactive,0.23,EU
3340,Fight Night Round 2,XB,2005,Fighting,Electronic Arts,0.16,EU
3341,MonHun Nikki: Poka Poka Ailu Mura,PSP,2010,Role-Playing,Capcom,0.0,EU
3342,The Golden Compass,DS,2007,Action,Sega,0.25,EU
3343,NBA 2K8,PS2,2007,Sports,Take-Two Interactive,0.02,EU
3344,Phineas and Ferb: Across the 2nd Dimension,Wii,2011,Action,Disney Interactive Studios,0.19,EU
3345,Disney Infinity,WiiU,2013,Action,Disney Interactive Studios,0.22,EU
3347,WarioWare D.I.Y.,DS,2009,Misc,Nintendo,0.19,EU
3348,Tony Hawk: RIDE,PS3,2009,Sports,Activision,0.15,EU
3349,LEGO Jurassic World,3DS,2015,Action,Warner Bros. Interactive Entertainment,0.22,EU
3350,Alice: Madness Returns,PS3,2011,Adventure,Electronic Arts,0.25,EU
3351,LEGO The Hobbit,PS4,2014,Action,Warner Bros. Interactive Entertainment,0.37,EU
3352,Suikoden,PS,1995,Role-Playing,Konami Digital Entertainment,0.14,EU
3353,Secret Agent Clank,PS2,2009,Platform,Sony Computer Entertainment,0.18,EU
3354,Rayman Arena,PS2,2001,Racing,Ubisoft,0.23,EU
3355,Avatar: The Game,PSP,2009,Action,Ubisoft,0.24,EU
3356,Jaws Unleashed,PS2,2006,Action,THQ,0.02,EU
3359,Tomb Raider (2013),XOne,2014,Action,Square Enix,0.21,EU
3360,Mickey's Speedway USA,N64,2000,Racing,Nintendo,0.08,EU
3361,International Superstar Soccer 64,N64,1997,Sports,Konami Digital Entertainment,0.26,EU
3362,Skylanders SWAP Force,WiiU,2013,Platform,Activision,0.15,EU
3364,Disney Sing It! High School Musical 3: Senior Year,Wii,2008,Misc,Disney Interactive Studios,0.23,EU
3365,From TV Animation One Piece: Grand Battle 2,PS,2002,Fighting,Namco Bandai Games,0.0,EU
3366,BeatMania Append 3rdMix,PS,1998,Simulation,Konami Digital Entertainment,0.0,EU
3367,PGR3 - Project Gotham Racing 3,X360,2005,Racing,Microsoft Game Studios,0.03,EU
3368,XCOM: Enemy Unknown,PS3,2012,Strategy,Take-Two Interactive,0.25,EU
3369,Blur,X360,2010,Racing,Activision,0.28,EU
3370,Xena: Warrior Princess,PS,1998,Adventure,Electronic Arts,0.23,EU
3371,Scribblenauts: Unlimited,3DS,2012,Action,Warner Bros. Interactive Entertainment,0.01,EU
3373,NHL 11,PS3,2010,Sports,Electronic Arts,0.13,EU
3374,Kinect Rush: A Disney Pixar Adventure,X360,2012,Adventure,Microsoft Game Studios,0.16,EU
3375,Monopoly,X360,2008,Misc,Electronic Arts,0.2,EU
3376,Disney Infinity 2.0: Marvel Super Heroes,PS4,2014,Action,Disney Interactive Studios,0.24,EU
3378,Asphalt: Urban GT,DS,2004,Racing,Ubisoft,0.22,EU
3379,The Fight: Lights Out,PS3,2010,Fighting,Sony Computer Entertainment,0.22,EU
3381,Pokemon Trozei!,DS,2005,Puzzle,Nintendo,0.0,EU
3382,Dead Space,PC,2008,Action,Electronic Arts,0.53,EU
3383,Hot Wheels: Stunt Track Challenge,PS2,2004,Racing,THQ,0.23,EU
3384,Rayman Origins,PSV,2012,Platform,Ubisoft,0.35,EU
3385,London 2012: The Official Video Game of the Olympic Games,X360,2012,Sports,Sega,0.46,EU
3386,Beijing 2008,X360,2008,Sports,Sega,0.38,EU
3388,Jeopardy!,Wii,2010,Misc,THQ,0.0,EU
3389,Jikkyou Powerful Pro Yakyuu '97 Kaimakuban,PS,1997,Sports,Konami Digital Entertainment,0.0,EU
3390,Assassin's Creed: Brotherhood,PC,2011,Action,Ubisoft,0.34,EU
3391,CyberTiger,PS,1998,Sports,Electronic Arts,0.22,EU
3392,Jampack Fall 2001,PS,2001,Misc,Sony Computer Entertainment,0.22,EU
3393,Medal of Honor: Frontline,GC,2002,Shooter,Electronic Arts,0.12,EU
3394,Final Fantasy: The 4 Heroes of Light,DS,2009,Role-Playing,Square Enix,0.11,EU
3395,Iron Man,Wii,2008,Action,Sega,0.22,EU
3396,Kane & Lynch 2: Dog Days,PS3,2010,Shooter,Square Enix,0.28,EU
3397,NFL Blitz 2001,PS,2000,Sports,Midway Games,0.22,EU
3398,Total War: Shogun 2,PC,2011,Strategy,Sega,0.31,EU
3399,Jikkyou Powerful Pro Yakyuu '98 Kaimakuban,PS,1998,Sports,Konami Digital Entertainment,0.0,EU
3401,Yakuza 5,PS3,2012,Action,Sega,0.0,EU
3402,LEGO Indiana Jones 2: The Adventure Continues,PSP,2009,Action,Activision,0.24,EU
3404,Naruto: The Broken Bond,X360,2008,Action,Ubisoft,0.28,EU
3405,2002 FIFA World Cup,PS2,2002,Sports,Electronic Arts,0.17,EU
3406,MVP Baseball 2004,XB,2004,Sports,Electronic Arts,0.13,EU
3410,Go Diego Go! Great Dinosaur Rescue,Wii,2008,Action,Take-Two Interactive,0.02,EU
3411,"Transformers: The Game (XBox 360, PS2, PS3, Wii & PC Versions)",Wii,2007,Action,Activision,0.03,EU
3413,Ready 2 Rumble Boxing,N64,1999,Sports,Midway Games,0.11,EU
3415,Dead or Alive Xtreme Beach Volleyball,XB,2003,Sports,Microsoft Game Studios,0.08,EU
3416,Tales of Rebirth,PS2,2004,Role-Playing,Namco Bandai Games,0.0,EU
3417,SoulCalibur V,X360,2012,Fighting,Namco Bandai Games,0.14,EU
3418,NHL 12,PS3,2011,Sports,Electronic Arts,0.16,EU
3419,Tales of Zestiria,PS3,2015,Role-Playing,Namco Bandai Games,0.09,EU
3420,Silent Hill: Shattered Memories,PS2,2010,Action,Konami Digital Entertainment,0.22,EU
3422,Skate it,Wii,2008,Sports,Electronic Arts,0.04,EU
3423,Game Party in Motion,X360,2010,Misc,Warner Bros. Interactive Entertainment,0.18,EU
3424,Barbie: Race & Ride,PS,1999,Action,Sony Computer Entertainment,0.22,EU
3425,Lost: Via Domus,X360,2008,Action,Ubisoft,0.34,EU
3426,Mega Man Anniversary Collection,PS2,2004,Platform,Capcom,0.22,EU
3427,Final Fantasy Anniversary Edition,PSP,2007,Role-Playing,Square Enix,0.02,EU
3428,Dark Souls II,PS4,2015,Role-Playing,Namco Bandai Games,0.22,EU
3430,Deus Ex: Human Revolution,PC,2011,Shooter,Square Enix,0.25,EU
3432,Harvest Moon: Friends of Mineral Town,GBA,2003,Simulation,Ubisoft,0.13,EU
3433,Backyard NBA Basketball,PS2,2003,Sports,Atari,0.22,EU
3434,FIFA Soccer 10,DS,2009,Sports,Electronic Arts,0.37,EU
3435,Kirby's Dream Course,SNES,1994,Sports,Nintendo,0.0,EU
3436,Doom 3 BFG Edition,PS3,2012,Shooter,Bethesda Softworks,0.22,EU
3437,Mega Man X7,PS2,2003,Action,Capcom,0.17,EU
3438,Top Spin 3,Wii,2008,Action,Take-Two Interactive,0.37,EU
3439,Petz Dogz 2,Wii,2007,Simulation,Ubisoft,0.01,EU
3440,SpongeBob SquarePants featuring Nicktoons: Globs of Doom,PS2,2008,Action,THQ,0.22,EU
3441,The Conduit,Wii,2009,Shooter,Sega,0.23,EU
3442,Just Dance 2016,WiiU,2015,Misc,Ubisoft,0.25,EU
3443,Tokimeki Memorial: Forever with You,PS,1995,Simulation,Konami Digital Entertainment,0.0,EU
3444,Diablo,PS,1997,Role-Playing,Electronic Arts,0.19,EU
3445,Cabela's Dangerous Hunts 2011,Wii,2010,Sports,Activision,0.02,EU
3446,NHL 15,PS4,2014,Sports,Electronic Arts,0.18,EU
3448,Romancing SaGa,PS2,2005,Role-Playing,Square Enix,0.04,EU
3449,The Lord of the Rings: The Third Age,PS2,2004,Role-Playing,Electronic Arts,0.02,EU
3451,Trivial Pursuit,Wii,2009,Misc,Electronic Arts,0.31,EU
3453,The Sims 3: World Adventures,PC,2009,Simulation,Electronic Arts,0.18,EU
3454,Kinect Sports Rivals,XOne,2014,Sports,Microsoft Game Studios,0.22,EU
3455,Rayman Origins,Wii,2011,Platform,Ubisoft,0.29,EU
3456,WWE 2K16,XOne,2015,Sports,Take-Two Interactive,0.22,EU
3457,Titanfall,PC,2014,Shooter,Electronic Arts,0.3,EU
3458,NCAA Football 09,PS3,2008,Sports,Electronic Arts,0.0,EU
3459,Tom Clancy's HAWX,X360,2009,Action,Ubisoft,0.19,EU
3461,Frozen: Olaf's Quest,3DS,2013,Platform,Disney Interactive Studios,0.26,EU
3462,Terminator 3: Rise of the Machines,PS2,2003,Action,Atari,0.22,EU
3463,"Transformers: War for Cybertron (XBox 360, PS3, & PC Versions)",X360,2010,Shooter,Activision,0.15,EU
3465,FIFA: Road to  World Cup 98,N64,1997,Sports,Electronic Arts,0.39,EU
3466,World Cup 98,N64,1998,Sports,Electronic Arts,0.4,EU
3467,International Superstar Soccer '98,N64,1998,Sports,Konami Digital Entertainment,0.3,EU
3470,Digimon World 2,PS,2000,Role-Playing,Namco Bandai Games,0.16,EU
3471,Tales of Phantasia,PS,1998,Role-Playing,Namco Bandai Games,0.0,EU
3472,Prince of Persia: The Two Thrones,XB,2005,Action,Ubisoft,0.22,EU
3473,Xenosaga Episode II: Jenseits von Gut und Böse,PS2,2004,Role-Playing,Sony Computer Entertainment,0.22,EU
3475,Shrek 2: Beg for Mercy,GBA,2004,Adventure,Activision,0.15,EU
3476,Mega Man Star Force 2: Zerker x Ninja / Saurian,DS,2007,Action,Capcom,0.0,EU
3477,JoJo's Bizarre Adventure: All Star Battle,PS3,2013,Fighting,Namco Bandai Games,0.02,EU
3478,Petz Nursery,DS,2009,Simulation,Ubisoft,0.0,EU
3479,Contra: Shattered Soldier,PS2,2002,Shooter,Konami Digital Entertainment,0.22,EU
3480,Championship Motocross featuring Ricky Carmichael,PS,1998,Racing,THQ,0.22,EU
3481,Dragon Ball Z: Chou Saiya Densetsu,SNES,1992,Role-Playing,Namco Bandai Games,0.0,EU
3482,NBA 2K7,X360,2006,Sports,Take-Two Interactive,0.0,EU
3483,WWE 2K16,PS3,2015,Sports,Take-Two Interactive,0.27,EU
3484,Phoenix Wright: Ace Attorney - Justice for All,DS,2006,Adventure,Capcom,0.05,EU
3485,Fire Emblem: Seisen no Keifu,SNES,1996,Strategy,Nintendo,0.0,EU
3489,Tenchu 2: Birth of the Stealth Assassins,PS,2000,Action,Activision,0.22,EU
3490,Tony Hawk's Pro Skater 4,GC,2002,Sports,Activision,0.12,EU
3491,MLB 11: The Show,PS3,2011,Sports,Sony Computer Entertainment,0.0,EU
3492,Naruto: Uzumaki Chronicles 2,PS2,2006,Action,Namco Bandai Games,0.22,EU
3493,NHL 06,PS2,2005,Sports,Electronic Arts,0.02,EU
3494,NHL 10,PS3,2009,Sports,Electronic Arts,0.12,EU
3495,Rooms: The Main Building,DS,2010,Adventure,Nintendo,0.41,EU
3496,Rapala: We Fish,Wii,2009,Sports,Activision,0.02,EU
3498,Tetris Party Deluxe,Wii,2010,Puzzle,Nintendo,0.17,EU
3499,NFL Blitz 2000,N64,1999,Sports,Midway Games,0.02,EU
3500,Ratchet & Clank: Quest for Booty,PS3,2008,Platform,Sony Computer Entertainment,0.53,EU
3502,NCAA Football 10,PS2,2009,Sports,Electronic Arts,0.22,EU
3503,Top Spin 3,PS3,2008,Action,Take-Two Interactive,0.37,EU
3505,Theme Park,PS,1994,Simulation,Electronic Arts,0.16,EU
3506,Blacksite: Area 51,X360,2007,Shooter,Midway Games,0.23,EU
3507,Spider-Man 3,X360,2007,Platform,Activision,0.04,EU
3509,Far Cry Instincts,XB,2005,Shooter,Ubisoft,0.24,EU
3510,Hasbro Family Game Night,PS2,2008,Puzzle,Electronic Arts,0.22,EU
3511,Tony Hawk's Pro Skater 4,GBA,2002,Sports,Activision,0.15,EU
3512,Up,Wii,2009,Action,THQ,0.28,EU
3513,Tales of the Abyss,PS2,2005,Role-Playing,Namco Bandai Games,0.0,EU
3514,Disney Universe,X360,2011,Action,Disney Interactive Studios,0.15,EU
3515,Iron Man,X360,2008,Action,Sega,0.24,EU
3516,Mobile Suit Gundam: Giren no Yabou- Zeon no Keifu,PS,2000,Strategy,Namco Bandai Games,0.0,EU
3518,Enslaved: Odyssey to the West,PS3,2010,Action,Namco Bandai Games,0.24,EU
3519,SpongeBob SquarePants featuring Nicktoons: Globs of Doom,DS,2008,Action,THQ,0.0,EU
3520,Beyond The Beyond,PS,1995,Role-Playing,Sony Computer Entertainment,0.08,EU
3522,Tomb Raider: Anniversary,PSP,2007,Action,Eidos Interactive,0.23,EU
3523,"Warhammer 40,000: Space Marine",X360,2011,Shooter,THQ,0.27,EU
3524,Madden NFL 06,GC,2005,Sports,Electronic Arts,0.11,EU
3526,Assassin's Creed II,PC,2010,Action,Ubisoft,0.45,EU
3527,Petz Wild Animals: Tigerz,DS,2008,Simulation,Ubisoft,0.01,EU
3528,Naruto: Ultimate Ninja 2,PS2,2004,Fighting,Namco Bandai Games,0.02,EU
3530,Dogz,DS,2006,Simulation,Ubisoft,0.02,EU
3532,The Mysterious Murasame Castle,NES,1986,Action,Nintendo,0.0,EU
3535,Pro Evolution Soccer 2012,PSP,2011,Action,Konami Digital Entertainment,0.12,EU
3537,Blood Wake,XB,2001,Shooter,Microsoft Game Studios,0.12,EU
3539,Skylanders: Spyro's Adventure,3DS,2011,Action,Activision,0.2,EU
3540,Dora The Explorer: Dora Saves the Snow Princess,Wii,2008,Platform,Take-Two Interactive,0.03,EU
3541,Jampack Summer 2002,PS2,2002,Misc,Sony Computer Entertainment,0.22,EU
3542,FIFA World Cup Germany 2006,PS2,2006,Sports,Electronic Arts,0.02,EU
3543,Wreckless: ThE YaKuza MisSiOns,XB,2002,Racing,Activision,0.11,EU
3545,SpongeBob SquarePants: Battle for Bikini Bottom,XB,2003,Platform,THQ,0.1,EU
3546,Spec Ops: The Line,PS3,2012,Shooter,Take-Two Interactive,0.25,EU
3547,SD Gundam G Generation Neo,PS2,2002,Strategy,Namco Bandai Games,0.0,EU
3548,Bratz 4 Real,DS,2007,Adventure,THQ,0.22,EU
3549,RalliSport Challenge,XB,2002,Racing,Microsoft Game Studios,0.16,EU
3550,Resident Evil Outbreak File #2,PS2,2004,Action,Capcom,0.15,EU
3551,Bob the Builder: Can We Fix It?,PS,2000,Action,THQ,0.21,EU
3552,XIII,PS2,2003,Shooter,Ubisoft,0.22,EU
3553,NHL 14,PS3,2013,Sports,Electronic Arts,0.19,EU
3554,LEGO Rock Band,X360,2009,Misc,Warner Bros. Interactive Entertainment,0.12,EU
3555,Bolt,Wii,2008,Adventure,Disney Interactive Studios,0.31,EU
3556,Top Spin 3,X360,2008,Action,Take-Two Interactive,0.4,EU
3557,Tom Clancy's HAWX,PS3,2009,Action,Ubisoft,0.22,EU
3558,LEGO Dimensions,X360,2015,Action,Warner Bros. Interactive Entertainment,0.28,EU
3559,Breath of Fire IV,PS,2000,Role-Playing,Capcom,0.08,EU
3560,True Crime: Streets of LA,GC,2003,Action,Activision,0.11,EU
3561,Odin Sphere,PS2,2007,Role-Playing,Square Enix,0.18,EU
3562,Donkey Kong Jungle Climber,DS,2007,Platform,Nintendo,0.04,EU
3565,Arena Football,PS2,2006,Sports,Electronic Arts,0.22,EU
3566,The Lord of the Rings: The Return of the King,GBA,2003,Action,Electronic Arts,0.15,EU
3567,NHL Hitz 20-02,PS2,2001,Sports,Midway Games,0.22,EU
3568,Classic NES Series: Dr. Mario,GBA,2004,Puzzle,Nintendo,0.11,EU
3569,The Sims: Bustin' Out,XB,2003,Simulation,Electronic Arts,0.14,EU
3570,NCAA March Madness 07,PS2,2007,Sports,Electronic Arts,0.22,EU
3571,"Monsters, Inc. Scream Team",PS,2001,Platform,Sony Computer Entertainment,0.21,EU
3572,Harry Potter Collection,PS2,2006,Misc,Electronic Arts,0.21,EU
3573,Tony Hawk's Project 8,PSP,2006,Sports,Activision,0.08,EU
3574,Yu-Gi-Oh! World Championship Tournament 2004,GBA,2004,Misc,Konami Digital Entertainment,0.15,EU
3575,Cabela's Big Game Hunter 2005 Adventures,PS2,2004,Sports,Activision,0.21,EU
3576,Hotel Dusk: Room 215,DS,2007,Adventure,Nintendo,0.05,EU
3577,Knockout Kings 2001,PS2,2001,Fighting,Electronic Arts,0.21,EU
3579,Phineas and Ferb: Across the 2nd Dimension,DS,2011,Action,Disney Interactive Studios,0.19,EU
3580,Petz Dogz 2,PS2,2007,Simulation,Ubisoft,0.21,EU
3581,Battlefield 2: Modern Combat,XB,2005,Shooter,Electronic Arts,0.15,EU
3582,Wolfenstein,X360,2009,Shooter,Activision,0.22,EU
3585,Need for Speed: Most Wanted,GC,2005,Racing,Electronic Arts,0.11,EU
3586,NASCAR Rumble,PS,2000,Racing,Electronic Arts,0.21,EU
3587,Tony Hawk: Shred,Wii,2010,Sports,Activision,0.11,EU
3588,Tony Hawk's Proving Ground,X360,2007,Sports,Activision,0.02,EU
3589,WWE Raw 2,XB,2003,Fighting,THQ,0.11,EU
3592,Manhunt 2,PS2,2007,Action,Take-Two Interactive,0.21,EU
3593,Xenoblade Chronicles,3DS,2015,Role-Playing,Nintendo,0.14,EU
3594,Fullmetal Alchemist and the Broken Angel,PS2,2003,Role-Playing,Square Enix,0.12,EU
3595,Monster High: Ghoul Spirit,Wii,2011,Misc,THQ,0.08,EU
3596,Final Fantasy IV: The Complete Collection,PSP,2011,Role-Playing,Square Enix,0.09,EU
3597,Frontlines: Fuel of War,X360,2008,Shooter,THQ,0.15,EU
3598,Lips: Number One Hits,X360,2009,Misc,Microsoft Game Studios,0.35,EU
3599,Hamtaro: Ham-Hams Unite!,GB,2001,Role-Playing,Nintendo,0.0,EU
3600,Batman Begins,PS2,2005,Action,Electronic Arts,0.21,EU
3601,Viva Pinata: Pocket Paradise,DS,2008,Simulation,THQ,0.23,EU
3604,Yu-Gi-Oh! Reshef of Destruction,GBA,2003,Strategy,Konami Digital Entertainment,0.15,EU
3605,Blinx: The Time Sweeper,XB,2002,Platform,Microsoft Game Studios,0.15,EU
3606,Madagascar: Escape 2 Africa,Wii,2008,Action,Activision,0.18,EU
3608,ESPN NFL Football,PS2,2003,Sports,Sega,0.21,EU
3610,Catz,DS,2006,Simulation,Ubisoft,0.02,EU
